"location","month","new_cases","mobility_change"
"Ireland","06",3.26053333333333,-244.152
"Ireland","07",3.86748387096774,-56.4054838709677
"Ireland","08",17.9392580645161,-5.21032258064516
"Ireland","09",49.5768333333333,-56.3243333333333
"Ireland","10",165.28864516129,-213.142903225806
"Ireland","11",74.8512,-288.242333333333
"Ireland","12",125.660064516129,-201.576451612903
"Italy","01",0.033,43.99
"Italy","02",0.642206896551724,51.6603448275862
"Italy","03",55.8411935483871,-444.680967741935
"Italy","04",54.9498,-571.009
"Italy","05",14.6902258064516,-342.24935483871
"Italy","06",4.1795,-113.887
"Italy","07",3.71274193548387,74.4525806451613
"Italy","08",11.5652580645161,183.447741935484
"Italy","09",25.1657333333333,88.6706666666667
"Italy","10",194.50764516129,-67.1122580645161
"Italy","11",508.3781,-279.08
"Italy","12",269.758032258065,-273.768709677419
"Latvia","02",NA,52.736
"Latvia","03",NA,-82.5303225806452
"Latvia","04",8.1291,-170.036333333333
"Latvia","05",3.55716129032258,-36.5164516129032
"Latvia","06",0.9188,145.227333333333
"Latvia","07",1.93245161290323,307.293548387097
"Latvia","08",2.82170967741935,330.797096774194
"Latvia","09",7.5637,154.076333333333
"Latvia","10",69.6056774193548,9.43322580645161
"Latvia","11",197.592833333333,-116.460333333333
"Latvia","12",407.526612903226,-169.7
"Liechtenstein","03",63.6802142857143,-86.3214285714286
"Liechtenstein","04",12.2365666666667,-74.5666666666667
"Liechtenstein","05",0,-48.741935483871
