day,count
2020-06-02,-36
2020-06-03,-40
2020-06-04,-51
2020-06-05,-51
2020-06-06,-41
2020-06-07,-38
2020-06-08,-40
2020-06-09,-35
2020-06-10,-35
2020-06-11,-40
2020-06-12,-45
2020-06-13,-30
2020-06-14,-33
2020-06-15,-39
2020-06-16,-35
2020-06-17,-36
2020-06-18,-56
2020-06-19,-46
2020-06-20,-30
2020-06-21,-49
2020-06-22,-36
2020-06-23,-33
2020-06-24,-42
2020-06-25,-48
2020-06-26,-47
2020-06-27,-40
2020-06-28,-47
2020-06-29,-50
2020-06-30,-41
2020-07-01,-43
2020-07-02,-44
2020-07-03,-37
2020-07-04,-25
2020-07-05,-43
2020-07-06,-43
2020-07-07,-35
2020-07-08,-45
2020-07-09,-35
2020-07-10,-27
2020-07-11,-22
2020-07-12,-34
2020-07-13,-29
2020-07-14,-25
2020-07-15,-42
2020-07-16,-44
2020-07-17,-38
2020-07-18,-29
2020-07-19,-33
2020-07-20,-40
2020-07-21,-40
2020-07-22,-44
2020-07-23,-42
2020-07-24,-39
2020-07-25,-13
2020-07-26,-28
2020-07-27,-32
2020-07-28,-32
2020-07-29,-34
2020-07-30,-19
2020-07-31,-25
2020-08-01,1
2020-08-02,-25
2020-08-03,-17
2020-08-04,-4
2020-08-05,-8
2020-08-06,-20
2020-08-07,-26
2020-08-08,3
2020-08-09,-16
2020-08-10,-15
2020-08-11,-23
2020-08-12,-30
2020-08-13,-29
2020-08-14,-38
2020-08-15,-14
2020-08-16,-18
2020-08-17,-26
2020-08-18,-29
2020-08-19,-42
2020-08-20,-34
2020-08-21,-38
2020-08-22,-7
2020-08-23,-34
2020-08-24,-34
2020-08-25,-33
2020-08-26,-23
2020-08-27,-34
2020-08-28,-23
2020-08-29,-2
2020-08-30,-12
2020-08-31,-19
2020-09-01,-22
2020-09-02,-20
2020-09-03,-14
2020-09-04,-15
2020-09-05,-5
2020-09-06,-29
2020-09-07,-19
2020-09-08,-1
2020-09-09,-12
2020-09-10,-21
2020-09-11,-19
2020-09-12,15
2020-09-13,-11
2020-09-14,-10
2020-09-15,-12
2020-09-16,-7
2020-09-17,-14
2020-09-18,-24
2020-09-19,0
2020-09-20,7
2020-09-21,-1
2020-09-22,-2
2020-09-23,-15
2020-09-24,-25
2020-09-25,-17
2020-09-26,7
2020-09-27,-37
2020-09-28,-18
2020-09-29,-17
2020-09-30,-4
2020-10-01,-1
2020-10-02,-5
2020-10-03,8
2020-10-04,3
2020-10-05,11
2020-10-06,6
2020-10-07,-4
2020-10-08,-11
2020-10-09,-11
2020-10-10,-4
2020-10-11,-20
2020-10-12,-26
2020-10-13,-19
2020-10-14,-11
2020-10-15,-25
2020-10-16,-11
2020-10-17,3
2020-10-18,-10
2020-10-19,-20
2020-10-20,-10
2020-10-21,-6
2020-10-22,-4
2020-10-23,-4
2020-10-24,17
2020-10-25,18
2020-10-26,29
2020-10-27,-9
2020-10-28,-7
2020-10-29,-16
2020-10-30,-16
2020-10-31,-16
2020-11-01,-3
2020-11-02,-9
2020-11-03,-14
2020-11-04,-5
2020-11-05,-27
2020-11-06,-13
2020-11-07,-7
2020-11-08,-27
2020-11-09,-20
2020-11-10,-20
2020-11-11,-8
2020-11-12,-2
2020-11-13,1
2020-11-14,14
2020-11-15,5
2020-11-16,-8
2020-11-17,4
2020-11-18,-16
2020-11-19,-8
2020-11-20,-6
2020-11-21,4
2020-11-22,-19
2020-11-23,-7
2020-11-24,-15
2020-11-25,-23
2020-11-26,-17
2020-11-27,-14
2020-11-28,9
2020-11-29,-26
2020-11-30,-28
2020-12-01,-5
2020-12-02,1
2020-12-03,-8
2020-12-04,-6
2020-12-05,-5
2020-12-06,-3
2020-12-07,-11
2020-12-08,-3
2020-12-09,-9
2020-12-10,-14
2020-12-11,-14
2020-12-12,-2
2020-12-13,-13
2020-12-14,-2
2020-12-15,7
2020-12-16,0
2020-12-17,-8
2020-12-18,-10
2020-12-19,-4
2020-12-20,-6
2020-12-21,-10
2020-12-22,-3
2020-12-23,-15
2020-12-24,-23
2020-12-25,-13
2020-12-26,-11
2020-12-27,0
2020-12-28,56
2020-12-29,50
2020-12-30,47
2020-12-31,56
2021-01-01,41
2021-01-02,-9
2021-01-03,-8
2021-01-04,60
2021-01-05,40
2021-01-06,37
2021-01-07,11
2021-01-08,-7
2021-01-09,13
2021-01-10,2
2021-01-11,8
2021-01-12,20
2021-01-13,15
2021-01-14,10
2021-01-15,5
2021-01-16,14
2021-01-17,-14
2021-01-18,-4
2021-01-19,-8
2021-01-20,-14
2021-01-21,-13
2021-01-22,-3
2021-01-23,4
2021-01-24,-5
2021-01-25,13
2021-01-26,17
2021-01-27,10
2021-01-28,-10
2021-01-29,-8
2021-01-30,15
2021-01-31,16
2021-02-01,32
2021-02-02,7
2021-02-03,6
2021-02-04,-4
2021-02-05,-1
2021-02-06,23
2021-02-07,24
2021-02-08,40
2021-02-09,-9
2021-02-10,-19
2021-02-11,-6
2021-02-12,-5
2021-02-13,18
2021-02-14,4
2021-02-15,-38
2021-02-16,-24
2021-02-17,-11
2021-02-18,-3
2021-02-19,-2
2021-02-20,18
2021-02-21,8
2021-02-22,2
2021-02-23,5
