date,value,key
2020-03-13,6,transit
2020-03-14,-2,transit
2020-03-15,-2,transit
2020-02-15,4,workplaces
2020-02-16,0,workplaces
2020-02-17,31,workplaces
2020-02-18,15,workplaces
2020-02-19,14,workplaces
2020-02-20,18,workplaces
2020-02-21,17,workplaces
2020-02-22,4,workplaces
2020-02-23,1,workplaces
2020-02-24,32,workplaces
2020-02-25,15,workplaces
2020-02-26,16,workplaces
2020-02-27,19,workplaces
2020-02-28,19,workplaces
2020-02-29,5,workplaces
2020-03-01,1,workplaces
2020-03-02,34,workplaces
2020-03-03,17,workplaces
2020-03-04,16,workplaces
2020-03-05,20,workplaces
2020-03-06,19,workplaces
2020-03-07,6,workplaces
2020-03-08,1,workplaces
2020-03-09,30,workplaces
2020-03-10,16,workplaces
2020-03-11,16,workplaces
2020-03-12,19,workplaces
2020-03-13,18,workplaces
2020-03-14,6,workplaces
2020-03-15,1,workplaces
2020-02-15,0,residential
2020-02-16,1,residential
2020-02-17,-3,residential
2020-02-18,-1,residential
2020-02-19,-2,residential
2020-02-20,-2,residential
2020-02-21,-2,residential
2020-02-22,2,residential
2020-02-23,1,residential
2020-02-24,-3,residential
2020-02-25,-1,residential
2020-02-26,-2,residential
2020-02-27,-2,residential
2020-02-28,-2,residential
2020-02-29,0,residential
2020-03-01,1,residential
2020-03-02,-2,residential
2020-03-03,-1,residential
2020-03-04,-1,residential
2020-03-05,-1,residential
2020-03-06,-1,residential
2020-03-07,1,residential
2020-03-08,1,residential
2020-03-09,-2,residential
2020-03-10,0,residential
2020-03-11,-1,residential
2020-03-12,-1,residential
2020-03-13,-1,residential
2020-03-14,1,residential
2020-03-15,1,residential
